seq,x,y,z,qx,qy,qz,qw
0,326729.41720951785,4128329.280844456,0.0,0.0,0.0,0.0,1.0
1,326729.6088363661,4128329.7479070225,0.0,0.0,0.0,0.0,1.0
2,326729.8125134129,4128330.225820807,0.0,0.0,0.0,0.0,1.0
3,326730.04394189897,4128330.759032551,0.0,0.0,0.0,0.0,1.0
4,326730.25284941064,4128331.26828916,0.0,0.0,0.0,0.0,1.0
5,326730.4440124349,4128331.827450316,0.0,0.0,0.0,0.0,1.0
6,326730.69214468426,4128332.3176242565,0.0,0.0,0.0,0.0,1.0
7,326730.91111263784,4128332.834443126,0.0,0.0,0.0,0.0,1.0
8,326731.15794629627,4128333.369186464,0.0,0.0,0.0,0.0,1.0
9,326731.37119050266,4128333.8308069976,0.0,0.0,0.0,0.0,1.0
10,326731.59334122104,4128334.3085238957,0.0,0.0,0.0,0.0,1.0
11,326731.82470295776,4128334.8099160953,0.0,0.0,0.0,0.0,1.0
12,326732.0613588239,4128335.338579681,0.0,0.0,0.0,0.0,1.0
13,326732.30622960813,4128335.892789217,0.0,0.0,0.0,0.0,1.0
14,326732.54460904363,4128336.440472759,0.0,0.0,0.0,0.0,1.0
15,326732.77155067876,4128336.9497265965,0.0,0.0,0.0,0.0,1.0
16,326733.04856469214,4128337.542862828,0.0,0.0,0.0,0.0,1.0
17,326733.29147738306,4128338.081017382,0.0,0.0,0.0,0.0,1.0
18,326733.52832671534,4128338.6118970686,0.0,0.0,0.0,0.0,1.0
19,326733.761309773,4128339.1130707883,0.0,0.0,0.0,0.0,1.0
20,326733.978277362,4128339.6118005267,0.0,0.0,0.0,0.0,1.0
21,326734.22134226933,4128340.092970228,0.0,0.0,0.0,0.0,1.0
22,326734.4554079317,4128340.5893114344,0.0,0.0,0.0,0.0,1.0
23,326734.6930070017,4128341.0778093636,0.0,0.0,0.0,0.0,1.0
24,326734.95877356525,4128341.577380329,0.0,0.0,0.0,0.0,1.0
25,326735.1940275334,4128342.0668517807,0.0,0.0,0.0,0.0,1.0
26,326735.4425865887,4128342.5921242665,0.0,0.0,0.0,0.0,1.0
27,326735.7064816873,4128343.0726783643,0.0,0.0,0.0,0.0,1.0
28,326735.9680804643,4128343.592316126,0.0,0.0,0.0,0.0,1.0
29,326736.2124625781,4128344.108609709,0.0,0.0,0.0,0.0,1.0
30,326736.4757633135,4128344.653373059,0.0,0.0,0.0,0.0,1.0
31,326736.745020294,4128345.200233349,0.0,0.0,0.0,0.0,1.0
32,326736.9746396855,4128345.6459749984,0.0,0.0,0.0,0.0,1.0
33,326737.20656969387,4128346.089078804,0.0,0.0,0.0,0.0,1.0
34,326737.494072565,4128346.6533224504,0.0,0.0,0.0,0.0,1.0
35,326737.7445566319,4128347.100112819,0.0,0.0,0.0,0.0,1.0
36,326738.05671490484,4128347.6557065267,0.0,0.0,0.0,0.0,1.0
37,326738.28537382436,4128348.1121983863,0.0,0.0,0.0,0.0,1.0
38,326738.51633437345,4128348.55846736,0.0,0.0,0.0,0.0,1.0
39,326738.8619855078,4128349.239727517,0.0,0.0,0.0,0.0,1.0
40,326739.09240465786,4128349.6884127706,0.0,0.0,0.0,0.0,1.0
41,326739.3416542938,4128350.1398538398,0.0,0.0,0.0,0.0,1.0
42,326739.56004252366,4128350.6000731615,0.0,0.0,0.0,0.0,1.0
43,326739.7383231852,4128351.0810183724,0.0,0.0,0.0,0.0,1.0
44,326740.02696881467,4128351.5774252764,0.0,0.0,0.0,0.0,1.0
45,326740.234330024,4128352.069138522,0.0,0.0,0.0,0.0,1.0
46,326740.44989350333,4128352.600088401,0.0,0.0,0.0,0.0,1.0
47,326740.620329012,4128353.129011125,0.0,0.0,0.0,0.0,1.0
48,326740.76431202615,4128353.701216995,0.0,0.0,0.0,0.0,1.0
49,326740.930005598,4128354.27963425,0.0,0.0,0.0,0.0,1.0
50,326741.0376765762,4128354.8494621664,0.0,0.0,0.0,0.0,1.0
51,326741.2589774847,4128355.4268984045,0.0,0.0,0.0,0.0,1.0
52,326741.4308677447,4128355.9761416838,0.0,0.0,0.0,0.0,1.0
53,326741.61611353094,4128356.5064233015,0.0,0.0,0.0,0.0,1.0
54,326741.78661523317,4128357.0457049897,0.0,0.0,0.0,0.0,1.0
55,326741.9143260232,4128357.538694859,0.0,0.0,0.0,0.0,1.0
56,326742.162653864,4128358.2315873676,0.0,0.0,0.0,0.0,1.0
57,326742.3477175804,4128358.781668361,0.0,0.0,0.0,0.0,1.0
58,326742.55161139945,4128359.291583884,0.0,0.0,0.0,0.0,1.0
59,326742.72547821735,4128359.8148855367,0.0,0.0,0.0,0.0,1.0
